LabTitle,Building,Room #,Floor,Qty of Hoods,Windows (North),Windows (West),Windows (South),Windows (East),Augmented Controls,Sensors Description,HVAC Systems Supplying Room,Exhaust/Return System,
TB15,T,B-15,B-1,1,,,,2,A/C-43,JCI  TE-6314P-1 Temperature,AHU-8,EF-4,
T302,T,302,3,1,,2,,,A/C-23,JCI  TE-6314P-1,AHU-6,EF-4,
T303,T,303,3,1,,,,2,A/C-23A,JCI  TE-6314P-1,AHU-8,EF-4,
T446,T,446,4,1,,2,,,A/C-22,JCI  TE-6314P-1,AHU-12,EF-11,
T449,T,449/451,4,1,,,,2,A/C-13B,JCI  TE-6314P-1,AHU-15,EF-11,
T454,T,454,4,1,,2,,,A/C-22A,JCI #HE-68N3-0N00WS (Temp & %RH),AHU-12,EF-11,
T General,T,Outdoor,1ST FL Roof,,,,,,,BAPI BA/1K (NI) -H210-0-BB2 (%RH),Outdoor %RH,,
T_duplicate,T,B-01,B-1,2,,,,1,A/C-43,JCI  TE-6314P-1,AHU-8,EF-4,
T General,T,Outdoor,1ST FL Roof,,,,,,,veris ind. Hxo-2%-0-10v-RTD(1k Pt) Enthalpy,CHILLER ENTHALPY,,
TB01,T,B-01,B-1,2,,,,1,A/C-43,JCI  TE-6314P-1 (Temp); JCI #HE-68N3-0N00WS (%RH),AHU-8,EF-4,
T General,T,Outdoor,,,,,,,,JCI  TE-6314P-1 Temperature Outdoor version,,,
H309,H,309,1,2,0,0,0,0,0,Johnson Controls TE-67NT-1B00 (+-2degree),RTU-52 & SF-8,EF-21,
H351,H,351,1,1,0,0,0,0,PUY-A24NHA7(HP-64) Aux. Unit,Johnson Controls TE-67NT-1B00 (+-2degree),RTU-54 & SF-7,EF-20,
H355,H,355,1,3,0,0,0,0,0,Johnson Controls TE-67NT-1B00 (+-2degree),RTU-54 & SF-7,EF-20,
H424,H,424,1,1,0,0,0,0,0,Johnson Controls TE-67NT-1B00 (+-2degree),RTU-52 & SF-8,EF-21,
H460,H,460,1,2,0,0,0,0,PKA-A18HA7 (HP-35)Aux. Unit,Johnson Controls TE-67NT-1B00 (+-2degree),RTU-54 & SF-7,EF-20,
H309,H,309,1,,,,,,,JCI #HE-68N3-0N00WS (%RH),RTU-52 & SF-8,EF-21,
H353,H,353,1,2,0,0,0,0,0,Johnson Controls TE-67NT-1B00 (+-2degree) (Temp); JCI #HE-68N3-0N00WS (%RH),RTU-54 & SF-7,EF-20,
H_duplicate,H,353,1,,,,,,,JCI #HE-68N3-0N00WS (%RH),RTU-54 & SF-7,EF-20,
,,,,,,,,,,,,,